mz,rt,Exp1F_CRR_1_POS,Exp1F_CRR_10_POS,Exp1F_CRR_2_POS,Exp1F_CRR_3_POS,Exp1F_CRR_4_POS,Exp1F_CRR_5_POS,Exp1F_CRR_6_POS,Exp1F_CRR_7_POS,Exp1F_CRR_8_POS,Exp1F_CRR_9_POS,Exp1F_HCC_1_POS,Exp1F_HCC_10_POS,Exp1F_HCC_2_POS,Exp1F_HCC_3_POS,Exp1F_HCC_4_POS,Exp1F_HCC_5_POS,Exp1F_HCC_6_POS,Exp1F_HCC_7_POS,Exp1F_HCC_8_POS,Exp1F_HCC_9_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,#,#
96.92160306,26.69553451,536.7768382,1536.142335,744.2067172,925.26675,596.9208491,791.359391,1588.680811,818.2703483,876.2874786,919.289249,799.3974768,898.0400897,887.0016669,835.9874042,820.0343983,855.1430572,872.3515915,947.522713,870.9676897,1592.635308,,
98.51085467,703.16915,5796.740397,3804.972663,5321.974391,4920.440033,4793.884259,4738.685354,4050.375883,4188.640972,3944.48302,3817.024806,6150.202062,3515.080288,5590.64279,5001.864224,4786.510876,4214.158562,4242.534295,4019.360899,3720.667782,3681.826267,,
98.96394113,32.02666715,266.9992287,1145.75013,955.4443175,1002.122429,1003.69485,945.0566252,1046.576947,1031.753839,955.2991248,1064.947648,988.31729,961.6872357,1085.143168,985.0217188,1050.395333,1170.022574,1105.049617,1130.347055,982.5292965,986.4768384,,[M+H-C3H2O3]+ 183.966
99.51156267,699.2207503,14908.3031,14565.41286,14307.77726,14573.64384,15932.0833,14360.6288,14908.63622,14624.65814,14640.33887,14058.60459,15026.40433,14685.41878,14954.21093,14467.65365,14181.64927,14193.03972,15152.74104,14902.35013,13979.07905,14817.02539,,
100.0746853,83.95432349,251.7835755,413.1522749,528.9385691,413.7210042,196.5853168,2095.505541,2119.811655,162.590166,812.2542041,152.0054033,421.5038907,480.7957677,752.5292502,1096.664491,3944.145811,120.0985296,162.2998363,246.7044898,353.8017887,346.3408269,,
100.5095027,699.2207503,6276.885508,6026.723228,6073.757768,6074.040571,6283.622547,6168.294558,6451.744963,6259.66575,6217.283652,6004.425647,6489.447075,6189.384022,6435.00331,6222.495993,5994.022164,5972.692851,6396.280955,6329.254728,5991.379425,6289.440128,,[M+2H-CH3]2+ 214.025
101.2389902,699.7198432,140.5813189,141.8969985,157.879428,143.4887742,182.5964054,143.7285361,137.2678343,144.8734817,135.089423,129.479945,136.2740444,128.9721209,146.7184942,135.159457,156.8627676,133.4022892,149.5052826,132.9818058,133.9555671,142.3738364,,[M+3H-C6H10O5]3+ 462.744
102.053728,697.5848542,3414.182946,3013.278862,2490.05819,3365.174979,3211.97856,3191.11739,3292.621504,3184.308565,3123.684964,3044.028607,2466.053513,3040.553819,3407.832164,3244.969414,3281.44457,3256.610239,3284.779131,3214.484931,3038.402311,3059.743747,,
102.9545711,699.0463001,207.0201528,203.0354794,184.0352541,187.0429014,200.7378463,172.3273505,155.130034,196.787961,177.817158,183.7761405,164.3546515,171.5476139,220.5188513,171.8258012,181.5036561,205.1700977,215.2225742,180.1587764,168.8594181,175.8943195,,
103.0546217,85.43867739,668.3786764,1000.6835,1043.773468,613.266072,658.8041028,1009.919066,667.0517268,648.7218018,1025.460182,822.4403795,1058.351556,1000.446675,849.7952923,576.8981083,1115.027209,686.5003642,904.9237001,754.6054974,682.8607023,1188.118095,,[M+K]+ 64.0917 [M+Na]+ 80.0656 [M+H]+ 102.048 [M+H-HCOOH]+ 148.053
104.084816,31.14216097,2147.718219,2061.803307,3205.842272,2292.801558,1901.310048,3100.231321,1882.749105,1847.630865,2896.176096,2490.002242,2339.675752,3164.980876,1824.112987,1654.36902,2388.190033,2396.222129,2101.598689,1753.477053,1809.934632,3182.430164,,
105.0192024,30.56524046,624.9090273,610.8910743,857.1344708,811.9616055,685.489755,1051.498684,673.6463754,624.3704732,636.4337693,569.4827873,725.7697947,527.0827839,723.0890741,586.663891,831.7147257,543.8064862,646.2399158,612.9324276,518.8975656,581.4011918,,
106.9740622,20.65738595,422.0274441,352.1660273,470.6255404,510.9932367,404.2818024,425.4665876,513.551836,0,461.1554107,413.0828882,502.7658755,404.7969337,442.7786727,515.8898776,420.1666524,488.1084887,0,452.4830818,410.0778089,474.4288446,,
107.085319,199.8624168,253.5268553,326.173009,291.7073224,319.7688335,265.2838185,337.4308108,392.970353,321.7147923,266.8949271,437.4082523,250.5040292,231.0804651,413.2441132,245.5913029,331.9031808,262.2022323,353.1259224,277.9535543,234.3518941,321.6354696,,[M+H]+ 106.075
107.9679092,483.2686672,319.075748,213.3294694,301.4749552,320.486419,265.0513388,267.8632217,267.8771275,349.0714907,350.0548686,279.787612,339.2112195,268.4697613,242.2482955,221.323914,306.5162787,251.0863752,345.1061074,269.3791988,253.4814632,249.8794256,,
108.5154308,699.6913512,95.2982457,82.50021011,99.50268652,89.36434806,78.57584249,92.92881358,100.6751955,88.47798398,90.34625029,84.70397378,70.94644901,87.52707645,90.79602637,81.83912453,91.13994459,97.40854408,83.81095076,91.6103681,89.12063905,92.74632241,,
110.0158312,701.2364347,1967.950535,1418.31522,1949.356416,1747.969678,1710.171715,1677.264026,1501.637041,1490.547126,1425.067427,1375.068391,2087.364352,1393.33905,2049.157906,1813.656625,1641.663285,1549.505757,1576.959438,1458.877826,1400.921714,1428.884644,,[M+K]+ 71.0552
110.0096634,22.99689188,851.7390222,1079.085699,929.4922516,1440.610399,1196.176932,1258.928532,1534.319089,1293.346512,1155.247966,1444.422038,1051.110293,1011.327569,1488.884621,1278.646129,1104.178331,1244.370559,1237.912849,1103.706573,1179.324523,1144.617627,,[M+H]+ 109.002
111.026857,698.1191197,6875.294843,6568.784869,6558.731368,6693.145638,6703.582703,6299.13913,6835.172901,6640.285627,6668.741063,6320.881019,6826.253329,6588.448185,6849.119468,6420.277399,6460.9522,6223.198971,6785.263899,6832.599907,6506.823032,6723.784536,,
112.0063197,700.604748,3635.404165,3329.099702,3430.08938,3515.877227,3368.291517,3395.389378,3400.768267,3291.943947,3371.20009,3208.209693,3653.641604,3399.88922,3579.328155,3469.167909,3302.0795,3195.768368,3531.961941,3393.01115,3280.550923,3441.251292,,[M+H-CO]+ 138.989 [M+H-CO]+ 138.989
112.9746989,701.9059233,1987.03355,1819.196644,1896.521887,1911.242123,1868.456434,1893.877514,1870.53324,1904.048312,1939.751051,1844.361923,2066.62532,1791.157899,1964.947199,1934.855775,1879.362543,1823.019599,1927.574464,1896.46244,1882.500146,1834.672708,,
112.8900039,26.13222297,63.0387484,195.0474798,128.3737238,162.6585486,85.87852532,124.539328,279.1429145,105.3847662,160.3950359,165.5558946,114.6323883,152.729178,159.9719557,152.08799,141.4008876,162.2595574,146.2957469,153.6757089,125.0934578,233.7204455,,
113.9655121,704.9105789,17219.24705,11633.21977,16096.97675,15148.8264,14621.12201,14224.79906,12808.14518,12694.17155,12124.79582,11794.61191,17831.97694,11121.62764,16683.92683,15322.75159,14593.00389,13206.76275,13068.69633,12215.72321,11909.00375,11560.28075,,[M+Na]+ 90.9781
114.0663168,29.09494492,684.1199587,1359.756513,952.2594758,850.3076727,2955.084756,1061.017732,753.7073009,8295.654054,8324.507104,932.2930385,1007.537977,8148.713351,1241.212036,1290.141301,950.146074,1151.196026,8253.451067,8841.294255,1212.818601,1400.299744,,[M+K]+ 75.1033
114.9707514,706.9089074,2546.804295,2169.330435,2463.057184,2508.211415,2362.21826,2297.541674,2231.583175,2312.840185,2171.297658,2185.013414,2568.424589,2206.33767,2536.382667,2458.401765,2415.673769,2230.181074,2337.560385,2197.064838,2179.854564,2140.754652,,[M+H]+ 113.964
115.0816958,28.16468633,105.9147322,154.0223834,159.5645013,129.1029667,275.6720509,164.4541671,161.5356442,117.6228185,186.623232,193.6592088,134.7302794,112.9682038,348.717891,143.6576091,108.0699561,144.1449914,115.8611283,115.3926718,136.6243684,202.8018811,,
115.9653849,701.0616289,5148.924925,4838.748218,4934.81574,5003.589991,5021.772439,4961.232105,4981.770212,5063.236572,5199.140122,4865.405476,5149.51925,4767.792962,5258.778739,5031.792326,4881.075734,4923.739531,5239.618214,5049.892459,4872.108017,5111.063186,,
116.0662891,29.3500859,1724.572734,2970.409441,6059.504194,1636.737739,2833.486416,4399.835823,3063.667698,1863.300659,2662.698694,2693.938628,3290.607143,1736.632016,4225.160866,3162.981428,2196.299707,3391.129561,2043.535836,1516.464267,2262.594652,3346.576975,[2][M]+,
116.971304,703.2629999,532.020309,434.506476,505.5366586,532.7436407,450.4728519,489.0659452,504.6195833,476.9118258,490.9777,480.8192591,484.6807903,459.1596318,499.2032704,471.2419322,479.6153191,464.0554553,510.5673593,474.9606978,467.6336892,450.3423133,,[M+Na]+ 93.9794
117.0764073,29.17317428,147.7352649,239.2114659,378.9127826,104.0393145,234.5591292,703.1403494,232.792901,140.1723074,205.7851737,204.8293363,234.41084,136.6052745,324.1987146,213.1607961,168.6164965,231.474618,154.8973471,128.7607097,186.55221,222.0103318,[2][M+1]+,
117.9470474,704.4356493,2926.86362,3069.413902,2916.616458,3037.287786,3012.837255,3000.795925,3036.435266,2934.630115,3196.574738,2965.281494,2965.286966,3015.915221,3115.317163,3032.331196,3009.386075,2974.114171,3147.735078,3220.649563,3078.457014,3057.176119,,[M+H-CH2]+ 130.953
118.086492,30.42212824,5207.607153,3777.154717,5787.307501,4661.70511,5402.678715,5030.001491,5219.576021,5293.329474,4324.07414,6905.703761,6145.699361,3518.720806,6869.70688,5022.644586,3867.82618,6396.785141,4732.279686,4058.914528,5298.50094,5444.849632,,[M+H-C6H8O6]+ 293.107
118.9242414,707.4695699,218.7218415,138.4787404,147.1046548,222.8075467,191.2372171,123.9724043,156.7911166,228.7237138,146.7075119,233.8064749,134.1894384,119.5662954,117.8766335,145.942557,134.1213442,218.6745984,138.5253504,225.1130034,129.4081052,121.0447364,,
119.0851702,325.7942525,1101.899572,1354.876601,1265.163303,485.6207237,1291.906127,1020.359694,807.364184,1257.273674,999.0068804,1358.070669,538.8603395,488.7904285,717.7176474,1139.166382,948.6299866,1070.582633,649.8087757,1042.614931,914.4643076,890.3296975,,
119.0592837,39.46644897,1240.414406,1449.351532,1643.325849,724.9996287,829.5821199,1439.539698,1168.439042,919.2411096,1381.629202,1263.95752,1198.123673,1176.486604,1073.040001,922.9300622,1391.171969,1061.855505,1432.480974,831.7938051,1032.500311,2094.747925,,[M+H-HCOOH]+ 164.05
119.9590121,700.9860342,238.9839735,252.2335596,258.7631386,256.0711069,278.0373266,259.8104572,262.13014,237.7231563,278.6804256,256.0360483,265.5063683,240.6336476,253.667821,269.0096849,268.6135948,258.8767425,232.3814881,246.1864851,260.1326953,255.0168623,,
120.000667,26.1334042,220.7512234,244.8722358,268.1477882,171.2545873,222.1312771,175.4556279,195.5679532,198.8921432,291.3404072,294.7290292,213.4558043,272.769983,216.954352,230.1710181,177.4265208,265.3765508,231.0082168,205.3869568,195.2488338,269.0997552,,[M+2H-COCH2]2+ 279.995 [M+2H-COCH2]2+ 279.995
120.0811743,85.57687629,13814.06156,24061.98521,25720.58548,12875.9627,14775.22457,23334.60884,14540.25379,13994.23291,24576.9176,18149.69456,25991.63651,22517.63498,19957.24103,11887.05921,28046.79021,16403.15005,20447.66898,17355.58306,14597.2466,28025.53604,[3][M]+,[M+K+NH3]+ 64.0917 [M+Na+NH3]+ 80.0656 [M+H+NH3]+ 102.048
121.0839966,85.57687629,1316.703719,2165.722914,2503.512257,1296.611673,1440.20007,2354.66955,1507.386965,1340.171949,2116.459725,1523.631623,2496.765324,2370.26038,1834.960134,1239.352685,2539.171155,1650.644695,2066.755704,1661.532682,1522.848394,2999.14211,[3][M+1]+,
121.8249232,85.82588458,79.67137469,249.7276767,217.9880645,60.78222894,104.4336188,213.6432386,110.9605671,78.14573895,218.477372,111.0328048,254.398244,197.2967654,145.7595165,42.47690559,231.5485962,104.8278867,317.660208,145.2014375,74.20233399,227.7731688,,
122.0164623,26.0333682,659.790965,509.5497851,513.2204489,558.8370076,665.273323,491.7028661,556.05908,595.6237382,607.5798501,585.8927273,585.1149498,618.8065091,481.6650075,575.1144211,544.6461509,618.2711293,592.7900576,611.8110735,593.3170665,602.4008537,,
123.0445739,41.17056612,2029.954323,2669.618848,2683.294414,1036.771594,1017.82844,2372.096145,1761.470365,1649.931736,2486.228505,1706.50254,1686.648217,1978.908998,1394.878979,1257.050012,2540.800192,1403.326158,2441.527762,1223.851907,1518.524843,3773.678649,,[M+H-COCH2]+ 164.05
124.0392934,40.63316823,199.6746136,240.3859783,256.0932235,81.05495899,118.4219963,221.1117408,155.4212156,131.2069928,215.9861357,180.1213555,172.1688803,154.2272099,112.7940412,126.5292622,252.4205264,146.782671,190.8565809,131.6227055,123.565713,391.9861812,,
124.9569111,707.0977804,1028.113922,977.2234273,977.2184191,1043.5138,1064.130463,1006.69763,987.3776727,973.4585119,983.7154293,1056.28996,1028.609497,913.857892,1051.509476,1052.771709,1035.196172,1000.22495,1015.182203,976.7699794,1049.852699,954.2461441,,[M+K]+ 85.9946 [M+K]+ 85.9946
125.9913981,698.2101551,6750.39208,6850.578327,6862.409924,6776.506256,6801.007894,6827.733752,7159.19581,6845.454868,6856.796032,6823.130513,7038.64999,6809.359515,6992.166956,6841.440761,6769.190291,6610.078761,6994.693829,6923.707964,6631.570381,6987.194772,,[M+H-CH2]+ 138.989 [M+H-CH2]+ 138.989
